time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-13T16:29:51.920Z,44.4636,148.1054,65.637,4.40,mb,159,124,3.973,0.48,us,us7000mbx6,2024-04-13T18:16:28.040Z,"86 km SSE of Kuril’sk, Russia",earthquake,8.41,6.015,0.045,149,reviewed,us,us
2024-04-16T18:30:12.267Z,-37.4311,177.6445,53.114,4.40,mwr,33,79,0.543,0.75,us,us7000mchr,2024-04-16T19:25:19.621Z,"60 km WNW of Hicks Bay, New Zealand",earthquake,6.83,5.337,0.069,20,reviewed,us,us
2024-04-16T18:59:49.459Z,24.0709,121.8021,32.178,4.40,mwr,56,76,0.712,0.74,us,us7000mchx,2024-04-17T09:24:12.817Z,"22 km ENE of Hualien City, Taiwan",earthquake,3.64,4.435,0.062,25,reviewed,us,us
2024-04-16T19:36:33.291Z,14.1026,-91.2088,68.616,4.40,mb,91,178,0.566,1.05,us,us7000mci1,2024-04-17T15:29:31.373Z,"14 km SE of Nueva Concepción, Guatemala",earthquake,7.86,6.696,0.056,92,reviewed,us,us
2024-04-16T23:50:15.651Z,25.7348,-110.5186,10,4.40,mb,121,203,2.207,1.09,us,us7000mcjt,2024-04-17T05:17:37.040Z,"88 km ESE of Loreto, Mexico",earthquake,10,1.989,0.071,58,reviewed,us,us
2024-04-17T05:12:48.771Z,26.0375,-110.7584,16.612,4.40,mb,36,161,1.841,1.15,us,us7000mclg,2024-04-17T06:06:36.040Z,"59 km E of Loreto, Mexico",earthquake,9.3,5.816,0.073,53,reviewed,us,us
2024-04-17T20:50:01.552Z,6.6352,-73.0463,164.24,4.40,mb,101,82,0.739,0.75,us,us7000mcrm,2024-04-17T21:29:55.367Z,"4 km NE of Curití, Colombia",earthquake,7.93,3.234,0.06,80,reviewed,us,us
2024-04-17T22:00:59.313Z,26.0966,-110.768,10,4.40,mb,16,200,1.794,1.04,us,us7000mcs4,2024-04-17T22:40:45.040Z,"58 km E of Loreto, Mexico",earthquake,9.03,1.969,0.056,91,reviewed,us,us
2024-04-18T12:09:41.373Z,15.0716,-94.1439,30.429,4.40,mb,62,145,2.277,1.13,us,us7000mcve,2024-04-18T13:57:36.040Z,"101 km SW of Manuel Ávila Camacho (Ponte Duro), Mexico",earthquake,8.43,6.933,0.051,111,reviewed,us,us
2024-04-18T15:22:37.889Z,33.1369,76.8188,37.129,4.40,mb,23,93,3.014,0.7,us,us7000mcxf,2024-04-18T17:08:38.040Z,"37 km S of Padam, India",earthquake,8.67,11.09,0.17,10,reviewed,us,us
2024-04-18T16:13:42.750Z,26.067,-110.8613,10,4.40,mb,24,264,1.755,1.05,us,us7000mcz1,2024-04-18T17:18:30.040Z,"49 km E of Loreto, Mexico",earthquake,10.32,2.012,0.062,75,reviewed,us,us
2024-04-18T17:52:57.945Z,33.4991,81.7531,10,4.40,mb,38,122,6.441,0.76,us,us7000mczc,2024-04-19T13:54:20.040Z,western Xizang,earthquake,4.61,1.906,0.114,22,reviewed,us,us
2024-04-18T19:31:44.725Z,40.0334,36.0585,5.332,4.40,mb,78,31,0.433,0.35,us,us7000mczs,2024-04-19T15:48:54.040Z,"4 km NNW of Sulusaray, Turkey",earthquake,3.45,3.895,0.078,47,reviewed,us,us
2024-04-18T23:09:30.211Z,36.0656,57.5323,10,4.40,mb,31,192,8.975,0.52,us,us7000md15,2024-04-18T23:26:20.040Z,"21 km SW of Sabzevar, Iran",earthquake,6.96,1.938,0.126,18,reviewed,us,us
2024-04-19T12:50:08.566Z,28.9636,142.5772,17.976,4.40,mb,31,136,1.893,0.95,us,us7000md4i,2024-04-19T13:55:56.040Z,"Bonin Islands, Japan region",earthquake,7.99,4.278,0.112,23,reviewed,us,us
2024-04-13T05:44:05.615Z,33.4243,81.6708,10,4.50,mb,37,112,6.41,0.66,us,us7000mbuu,2024-04-13T06:08:19.040Z,western Xizang,earthquake,7.53,1.894,0.081,45,reviewed,us,us
2024-04-13T12:00:29.568Z,31.5394,138.2415,382.394,4.50,mb,135,74,2.059,0.82,us,us7000mbwa,2024-04-14T06:14:41.040Z,"Izu Islands, Japan region",earthquake,6.58,5.914,0.03,321,reviewed,us,us
2024-04-13T19:32:31.053Z,12.3602,125.2917,48.79,4.50,mb,44,131,12.037,0.48,us,us7000mbxz,2024-04-13T23:03:03.040Z,"0 km ENE of Cagamotan, Philippines",earthquake,14.02,8.215,0.091,36,reviewed,us,us
2024-04-14T02:02:43.719Z,38.9609,23.3997,10,4.50,mb,79,36,0.831,0.88,us,us7000mbz7,2024-04-14T18:24:24.541Z,"19 km NNW of Mantoúdi, Greece",earthquake,4.74,1.884,0.076,51,reviewed,us,us
2024-04-14T03:16:24.578Z,-23.606,-63.7425,555.241,4.50,mb,35,52,4.131,0.69,us,us7000mbzi,2024-04-14T03:32:35.040Z,"57 km SE of Embarcación, Argentina",earthquake,6.75,17.386,0.172,10,reviewed,us,us
2024-04-14T10:15:19.040Z,-19.2191,-177.6607,389.428,4.50,mb,43,73,3.015,1,us,us7000mc17,2024-04-14T13:08:16.040Z,Fiji region,earthquake,11.14,8.279,0.049,124,reviewed,us,us
2024-04-15T15:42:26.761Z,-6.2966,150.4474,10,4.50,mb,28,58,4.488,0.62,us,us7000mc6w,2024-04-15T16:18:10.040Z,"89 km SSE of Kimbe, Papua New Guinea",earthquake,9.31,1.785,0.11,24,reviewed,us,us
2024-04-16T21:30:43.929Z,-24.0706,-67.0135,209.868,4.50,mb,24,64,1.544,0.67,us,us7000mciz,2024-04-16T21:54:43.040Z,"72 km WNW of San Antonio de los Cobres, Argentina",earthquake,6.96,8.703,0.243,5,reviewed,us,us
2024-04-18T07:53:49.248Z,-23.3226,-69.2104,90.89,4.50,mb,15,120,0.698,0.34,us,us7000mcu7,2024-04-19T07:07:18.040Z,"100 km SSW of Calama, Chile",earthquake,4.82,6.274,0.171,10,reviewed,us,us
2024-04-18T20:48:57.867Z,-21.3329,-70.3137,38.503,4.50,mb,18,164,0.39,1.28,us,us7000md0f,2024-04-19T01:29:36.183Z,"84 km N of Tocopilla, Chile",earthquake,5.39,6.719,0.172,10,reviewed,us,us
2024-04-19T00:33:24.989Z,36.2564,139.6754,73.969,4.50,mb,38,190,1.217,0.36,us,us7000md1g,2024-04-19T04:18:45.671Z,"2 km ENE of Fujioka, Japan",earthquake,7.5,7.27,0.096,32,reviewed,us,us
2024-04-19T14:01:37.240Z,82.9608,-23.1682,10,4.50,mb,43,69,4.914,0.89,us,us7000md4s,2024-04-19T14:25:03.040Z,near the north coast of Greenland,earthquake,8.39,1.823,0.067,65,reviewed,us,us
2024-04-12T00:02:24.810Z,8.5532,123.0051,10,4.60,mb,32,97,2.945,1.06,us,us7000mbjv,2024-04-12T01:56:44.885Z,"10 km WNW of Manukan, Philippines",earthquake,5.68,1.852,0.116,22,reviewed,us,us
2024-04-12T03:36:24.180Z,-22.9753,-177.1702,146.27,4.60,mb,30,78,2.56,0.66,us,us7000mbku,2024-04-12T03:58:23.040Z,"277 km SW of Houma, Tonga",earthquake,8.95,7.636,0.103,28,reviewed,us,us
2024-04-12T04:03:43.484Z,33.6593,81.9167,10,4.60,mb,20,119,6.517,0.72,us,us7000mbkx,2024-04-12T04:24:43.040Z,western Xizang,earthquake,7.45,1.863,0.182,9,reviewed,us,us
2024-04-12T05:04:56.232Z,33.5848,81.792,10,4.60,mb,55,88,6.5,1.17,us,us7000mbl3,2024-04-12T06:21:35.040Z,western Xizang,earthquake,6.16,1.631,0.08,47,reviewed,us,us
2024-04-12T14:19:59.911Z,22.3135,121.6958,17.811,4.60,mb,46,108,0.759,0.8,us,us7000mbmu,2024-04-12T19:03:30.093Z,"103 km ENE of Hengchun, Taiwan",earthquake,5.29,4.986,0.074,55,reviewed,us,us
2024-04-12T18:44:36.534Z,23.4262,120.1437,3.159,4.60,mww,42,77,0.464,1.26,us,us7000mbru,2024-04-12T21:56:40.032Z,"31 km WSW of Pizitou, Taiwan",earthquake,2.53,4.227,0.08,15,reviewed,us,us
2024-04-12T19:27:51.494Z,9.8526,-104.4913,10,4.60,mb,86,183,9.583,0.77,us,us7000mbsq,2024-04-12T21:06:51.040Z,northern East Pacific Rise,earthquake,12.1,1.848,0.062,78,reviewed,us,us
2024-04-12T20:02:52.695Z,-14.9863,167.383,136.499,4.60,mb,54,53,6.271,0.6,us,us7000mbsu,2024-04-12T20:52:32.040Z,"33 km E of Port-Olry, Vanuatu",earthquake,8.01,5.409,0.081,52,reviewed,us,us
2024-04-13T04:38:20.697Z,-25.674,179.7249,502.422,4.60,mb,24,106,4.123,0.54,us,us7000mbun,2024-04-13T04:55:29.040Z,south of the Fiji Islands,earthquake,12.16,10.758,0.109,26,reviewed,us,us
2024-04-13T15:50:17.747Z,1.2363,126.1564,51.407,4.60,mb,107,52,1.295,0.54,us,us7000mbx2,2024-04-16T15:38:32.040Z,"116 km E of Bitung, Indonesia",earthquake,6.32,5.601,0.054,110,reviewed,us,us
2024-04-13T17:46:59.744Z,2.4662,126.8087,42.242,4.60,mb,90,83,1.773,0.73,us,us7000mbxb,2024-04-13T18:48:24.040Z,"156 km WNW of Tobelo, Indonesia",earthquake,6.35,7.039,0.06,88,reviewed,us,us
2024-04-14T03:37:41.463Z,-29.943,-178.6686,179.036,4.60,mb,40,128,0.941,0.81,us,us7000mbzq,2024-04-15T01:47:26.917Z,"Kermadec Islands, New Zealand",earthquake,14.63,6.281,0.105,27,reviewed,us,us
2024-04-14T06:05:07.385Z,-35.2138,-178.8661,10,4.60,mb,20,198,3.27,0.97,us,us7000mc0b,2024-04-14T08:42:28.040Z,east of the North Island of New Zealand,earthquake,13.22,1.965,0.141,15,reviewed,us,us
2024-04-14T10:58:42.127Z,-1.5819,-80.9257,19.602,4.60,mb,32,171,1.628,0.73,us,us7000mc1b,2024-04-14T18:40:33.414Z,"46 km WSW of Jipijapa, Ecuador",earthquake,9.66,4.824,0.119,21,reviewed,us,us
2024-04-14T13:51:01.441Z,41.3843,78.5905,10,4.60,mb,26,147,0.683,0.88,us,us7000mc1p,2024-04-14T14:58:27.040Z,"116 km SSE of Kyzyl-Suu, Kyrgyzstan",earthquake,7.72,1.936,0.08,46,reviewed,us,us
2024-04-15T18:17:02.776Z,52.5633,172.7784,35,4.60,mb,58,86,0.822,0.63,us,us7000mc91,2024-04-17T03:53:35.805Z,"41 km SW of Attu Station, Alaska",earthquake,9.85,1.915,0.048,129,reviewed,us,us
2024-04-16T18:21:30.151Z,39.5156,141.8333,56.38,4.60,mb,45,185,1.402,0.62,us,us7000mchq,2024-04-17T14:33:52.002Z,"11 km WNW of Yamada, Japan",earthquake,8.13,7.368,0.099,30,reviewed,us,us
2024-04-17T03:56:00.194Z,-2.6229,133.4312,85.071,4.60,mb,20,77,1.217,0.9,us,us7000mcl5,2024-04-17T04:31:22.040Z,"57 km S of Bintuni, Indonesia",earthquake,10.32,6.028,0.125,19,reviewed,us,us
2024-04-17T08:15:06.514Z,-5.8108,112.3635,17.494,4.60,mb,26,100,2.273,0.67,us,us7000mcm4,2024-04-18T08:24:26.040Z,"117 km N of Paciran, Indonesia",earthquake,9.37,5.508,0.111,24,reviewed,us,us
2024-04-17T22:07:00.814Z,39.9991,35.9561,8.47,4.60,mwr,85,34,0.515,1.03,us,us7000mcs6,2024-04-17T22:26:17.040Z,"10 km W of Sulusaray, Turkey",earthquake,5.07,4.341,0.048,42,reviewed,us,us
2024-04-18T14:59:41.083Z,-19.6617,-172.7188,10,4.60,mb,19,156,2.699,0.56,us,us7000mcx7,2024-04-18T15:50:23.040Z,"168 km E of Fangale’ounga, Tonga",earthquake,12.18,1.91,0.152,13,reviewed,us,us
2024-04-18T18:45:00.259Z,15.8984,146.7376,35,4.60,mb,33,139,1.124,0.76,us,us7000mczy,2024-04-18T20:32:25.040Z,"129 km NE of Saipan, Northern Mariana Islands",earthquake,4.2,1.936,0.087,39,reviewed,us,us
2024-04-19T04:22:12.580Z,-58.8767,-25.1603,29.073,4.60,mb,26,83,7.761,0.8,us,us7000md2s,2024-04-19T05:07:28.040Z,South Sandwich Islands region,earthquake,10.62,5.071,0.11,25,reviewed,us,us
2024-04-19T05:27:56.552Z,41.7883,81.8871,10,4.60,mb,49,212,2.09,0.8,us,us7000md2v,2024-04-19T08:40:58.040Z,"87 km W of Kuqa, China",earthquake,9.61,1.953,0.091,36,reviewed,us,us
2024-04-19T07:27:33.371Z,55.1698,-156.912,15.8,4.60,ml,,,,0.43,ak,ak024521g2jy,2024-04-19T13:02:09.569Z,"156 km SE of Chignik, Alaska",earthquake,,2.1,,,reviewed,ak,ak
